type,id,amount,oldbalanceOrig,newbalanceOrig,oldbalanceRec,newbalanceRec,Country,senders_name,ReceiversBank,SendersBank,receiver_name,TransactionDates,isFraud
transfer,8be6cff9-fe57-447c-af77-1c7d9433c2f6,10208.55,30986.67,20778.12,73983.42,84191.97,Canada,Jackie Lee,Kotak Mahindra Bank,Wells Fargo,Shawn Browning,2024-10-24,False
transfer,a4a584f3-9a4d-4bc2-a996-ffb1438af48f,44562.51,76983.52,32421.01,64853.83,109416.34,Canada,Eric Long,Barclays,UBS,Jonathan Brady,2021-11-25,False
debit,cedcf5bf-6e94-44ab-badf-14580722ab3c,7887.06,104902.08,97015.02,54614.56,62501.62,France,Benjamin Wright,UBS,Chase Bank,Arthur Garrett,2021-11-09,False
cash_out,c49a5923-81b1-40a4-b2bc-08d30f8dd535,24641.94,121261.87,96619.93,25363.87,50005.81,Germany,Dr. David Morris II,Deutsche Bank,ICICI Bank,Richard Barker,2022-08-18,False
cash_out,ba108217-0ad7-49a2-b277-16ec59fefbbc,14006.62,110058.63,96052.01,2591.33,16597.95,USA,Mitchell Jackson,Wells Fargo,HSBC,Dimitri Bush,2024-03-26,True
debit,1e4dffca-ef96-4891-a9e3-cf79eba863bd,38811.41,53230.08,14418.67,11475.18,50286.59,Canada,Carl Ruiz,Standard Chartered,UBS,Michelle Smith,2021-02-18,False
transfer,77cda53b-680d-4c16-a2cb-630d7c5e3c45,2975.38,25212.32,22236.94,62736.22,65711.6,Singapore,Samantha Beck,Standard Chartered,HDFC Bank,Lisa Dickson,2021-10-16,False
transfer,d0d4002f-d378-4570-9277-3e8b10f41839,9604.86,53975.05,44370.19,39095.16,48700.02,Germany,Jessica Hayes,UBS,DBS Bank,Logan Santiago,2022-01-19,False
transfer,f88eb897-dc11-4b32-8ea0-20037acbbc8b,38485.05,60246.72,21761.67,39799.6,78284.65,Singapore,David Wallace,Standard Chartered,UBS,Holly Owen,2023-01-12,False
debit,ef6ca521-a592-4ffa-96d9-f54937acd2b0,41884.14,82730.08,40845.94,88141.32,130025.46,UK,Nicholas Jones,HDFC Bank,Standard Chartered,Beth Santos,2024-06-15,False
transfer,49257b6d-042f-45aa-ba82-0cc52fde9e65,23668.96,95666.89,71997.93,382.31,24051.27,Germany,Charles Young,Kotak Mahindra Bank,ICICI Bank,Richard Jones,2023-05-11,False
debit,24d8b331-cbd7-4f06-8214-7d427dc1497e,16749.34,30850.76,14101.42,68976.43,85725.77,USA,Craig Chapman,State Bank of India,Deutsche Bank,Robert Walker,2020-08-13,False
debit,53c9b548-3946-49ce-af80-e85a3bd9474b,18251.46,47003.27,28751.81,62320.51,80571.97,France,Hannah Grant,Wells Fargo,HSBC,Mrs. Nicole Flynn MD,2021-04-30,False
debit,e3f75513-c165-4b42-96bf-8863bd464cd3,17023.03,48926.8,31903.77,36139.97,53163.0,France,Taylor Tran,State Bank of India,Wells Fargo,Philip Coleman,2024-08-09,False
transfer,ed53a9df-576a-4d57-a9db-515e90922e90,4164.74,65367.25,61202.51,44989.38,49154.12,India,Pamela Cochran,DBS Bank,HDFC Bank,Jamie Goodman MD,2020-08-07,False
transfer,ad32a7c6-8b64-412c-9bd5-37b1c35adde3,4286.05,44605.56,40319.51,83807.04,88093.09,France,Lisa Peterson,Deutsche Bank,Standard Chartered,Rachel Sullivan,2025-02-16,False
transfer,19edcdbc-ec39-412e-a3d8-89fae5a456d8,15066.2,63438.15,48371.95,18404.39,33470.59,USA,Jacqueline Harris,Bank of America,Wells Fargo,Anthony Gould,2021-07-26,False
debit,c2fbca9a-1989-481d-9aa7-98e289d79c63,32750.36,65347.59,32597.23,11947.99,44698.35,India,Veronica Valentine,UBS,Chase Bank,Eric King,2025-06-03,False
debit,b52bb796-1cd6-4b90-bdfc-79a57d9d3b89,467.77,6193.95,5726.18,68603.85,69071.62,India,Angel Wells,ICICI Bank,State Bank of India,Michael Patterson,2021-06-18,False
debit,a15dcc5e-36cc-4aae-8506-bcd0eb207090,12847.52,75361.14,62513.62,43704.33,56551.85,Singapore,Brian Khan,HDFC Bank,Wells Fargo,John Delgado,2021-08-08,False
debit,338a64e9-13d6-426a-8320-6da90151d720,34959.55,59429.84,24470.29,28447.81,63407.36,Germany,Joseph Rodriguez,Bank of America,HSBC,Derrick Smith,2023-05-19,False
transfer,621a0859-c40f-4bca-9a04-0bc7eac4a84e,40871.86,72805.99,31934.13,68582.32,109454.18,Singapore,Melissa Brown,HSBC,State Bank of India,Francisco Porter,2021-12-30,False
debit,f3853d17-b7fc-4d5b-bfcd-8829125f283e,19551.17,113125.76,93574.59,88372.19,107923.36,Singapore,Julie Jimenez,Wells Fargo,DBS Bank,Raymond Vasquez,2022-01-04,False
